TF	Annotation	x11	x12	x21	x22	estimate	ci1	ci2	pval	padj	log2r
HNF1B	non-caPeak	725	49	50355	4185	1.2297062676746	0.918388246971458	1.68063772161813	0.173393223806552	0.416143737135724	0.29831374907966
HNF4A	caPeak	142	3159	2445	49404	0.908280177841555	0.758553742714896	1.08048093986331	0.288661943496427	0.538512197110982	-0.138790699538012
HNF4A	caPeak-haPeak	131	3170	1502	50347	1.3851916454443	1.14558382342929	1.66329911632178	0.000688367668471519	0.0182105192470753	0.47008559129604
HNF4A	non-caPeak	3028	273	47902	3947	0.913948587138868	0.803654666528421	1.04262167333987	0.166326481573558	0.408005291815799	-0.129815084052599
HNF4G	caPeak	144	3210	2442	49351	0.906578582777843	0.758073010041253	1.0772268466836	0.273382222631833	0.524479444601073	-0.141496015822266
HNF4G	caPeak-haPeak	131	3223	1502	50291	1.36089956917126	1.12555674439608	1.63408553587644	0.00132046460498951	0.025490708026754	0.444560603649599
HNF4G	non-caPeak	3079	275	47849	3944	0.922846302361297	0.811886123142912	1.05230172724358	0.214989713606591	0.468188248662498	-0.115837704096636
HOXA1	caPeak	21	423	2571	52310	1.01009434510035	0.617618756550456	1.56766138589676	0.910237736602244	0.973333476983461	0.0144900502559459
HOXA1	caPeak-haPeak	13	431	1628	53253	0.986633510460436	0.51992818155316	1.71015147448345	1	1	-0.0194138063852153
HOXA1	non-caPeak	410	34	50682	4199	0.999072658426854	0.702295367295729	1.46455987409243	1	1	-0.00133849180430134
HOXA10	caPeak	48	1467	2544	51218	0.65873168440656	0.482161719449807	0.880811070393674	0.00369091190601199	0.0473014245740305	-0.602237150749536
HOXA10	caPeak-haPeak	56	1459	1583	52179	1.26515843035003	0.946482825345548	1.66109228636481	0.0909437685567863	0.302526010020619	0.339318058728676
HOXA10	non-caPeak	1411	104	49635	4127	1.12808954845831	0.92137002086779	1.39375805968082	0.259666062888951	0.513167946243446	0.173881594322661
HOXA2	caPeak	28	622	2563	52108	0.915216073311988	0.601880704285595	1.33923797193714	0.709298869773233	0.877947108483176	-0.127815705485364
HOXA2	caPeak-haPeak	19	631	1622	53049	0.984806048762847	0.587394355436487	1.55608388040551	1	1	-0.0220884718816424
HOXA2	non-caPeak	603	47	50486	4185	1.06351679676206	0.788200252985982	1.46579967291773	0.766371497807656	0.910621619161282	0.0888428188312304
HOXA4	caPeak	35	864	2557	51854	0.821495044300662	0.567072007972789	1.15465815711653	0.300262018455706	0.55165380494207	-0.28367622279713
HOXA4	caPeak-haPeak	32	867	1609	52802	1.21121975964021	0.820391463456213	1.72995701088404	0.275619569618499	0.524479444601073	0.276460646518191
HOXA4	non-caPeak	832	67	50245	4166	1.02961519240015	0.800308191597173	1.34385939049548	0.89927607968325	0.967878131794473	0.0421052463933331
HOXA5	caPeak	27	681	2565	52044	0.80445013967438	0.525123591503878	1.18385337576461	0.323863054352482	0.574414897999342	-0.313925090313652
HOXA5	caPeak-haPeak	26	682	1615	52994	1.25095161994083	0.808704018134973	1.85607431058974	0.263574990088883	0.516018753962457	0.323025994922501
HOXA5	non-caPeak	655	53	50429	4180	1.0243805276993	0.772055138135654	1.3847207453193	0.943256554701733	0.993411377338471	0.034751734328132
HOXA7	caPeak	42	1005	2551	51714	0.84718876709672	0.605213806755749	1.15694652389671	0.336818840423388	0.587433744134973	-0.239244634170536
HOXA7	caPeak-haPeak	37	1010	1604	52661	1.20271554435542	0.838743535477926	1.67654425178921	0.269209658970833	0.522527410221156	0.266295469385137
HOXA7	non-caPeak	968	79	50110	4155	1.01600265210864	0.805277544641491	1.29751599595034	0.953199619656052	0.999733774316426	0.022904168034286
HOXA9	caPeak	15	301	2578	52432	1.01353550278221	0.559405818672431	1.70195413710637	0.89384517431461	0.967878131794473	0.0193966253521643
HOXA9	caPeak-haPeak	7	309	1634	53376	0.740005162020178	0.294565910527187	1.54662470997309	0.61512620304243	0.815444439589582	-0.434392760368833
HOXA9	non-caPeak	294	22	50798	4212	1.10807098366063	0.717129764549196	1.79757277485705	0.749927921419635	0.900724969640175	0.148050304216481
HOXB2	caPeak	32	748	2561	51972	0.868176577940869	0.588170557478276	1.23960231457184	0.494742469014526	0.716301052964509	-0.203939593448797
HOXB2	caPeak-haPeak	31	749	1610	52923	1.36047607634425	0.914594597436798	1.95570815124519	0.109263033160427	0.330769000385656	0.444111587353504
HOXB2	non-caPeak	717	63	50362	4171	0.942555509836329	0.726320876125584	1.24217514043276	0.634982956059691	0.827590310637484	-0.0853505094955951
HOXB3	caPeak	42	913	2548	51809	0.935372204627112	0.667811814889742	1.27824368506189	0.757088189726956	0.906057024902341	-0.0963875363918151
HOXB3	caPeak-haPeak	31	924	1609	52748	1.09985818930397	0.740399734938827	1.57851885237603	0.563919306397615	0.775153424336603	0.137317521225609
HOXB3	non-caPeak	882	73	50200	4157	1.00052521243518	0.785627597896786	1.29104747062102	1	1	0.000757522462949766
HOXB4	caPeak	37	935	2555	51784	0.802035233450074	0.559788829296755	1.11686386861254	0.219858722514963	0.473104714684864	-0.318262479145855
HOXB4	caPeak-haPeak	33	939	1607	52732	1.15320119887432	0.786316596586997	1.63779994273994	0.391255781664977	0.633235359875759	0.205644241779954
HOXB4	non-caPeak	902	70	50177	4162	1.06882481873533	0.835586013003394	1.38619847822137	0.669803125978114	0.844865306631485	0.0960254135333784
HOXB5	caPeak	24	498	2569	52234	0.979876205357543	0.620664544590964	1.4784898948287	1	1	-0.0293285999432416
HOXB5	caPeak-haPeak	17	505	1624	53179	1.10232746649666	0.635478573367736	1.78841357667382	0.69605585683064	0.867302526939581	0.140552866478234
HOXB5	non-caPeak	481	41	50610	4193	0.971957690134597	0.704579894053833	1.37407673093383	0.86842881720952	0.957715518500313	-0.0410345810167348
HOXB6	caPeak	34	766	2558	51957	0.90155815659982	0.618337100663645	1.27430726568377	0.613404062809978	0.815444439589582	-0.149507536638546
HOXB6	caPeak-haPeak	26	774	1615	52900	1.10030498212721	0.711895107580076	1.63089423087273	0.599418632700236	0.804053996733852	0.13790346485708
HOXB6	non-caPeak	740	60	50342	4173	1.02234704202772	0.783539228884867	1.35587013099991	0.946563945570967	0.99591088112206	0.0318850111718136
